tau,inv_tau,theta,v_ht,v_aipw,bias_b,v_b,loss_1,offgreedy
0.03140707956402577,31.839954999999996,1.4999999999999991,4162150616394.1406,2113218068138.5225,0.04353945729898778,63.84244803195378,0.0008112853035655948,0.021769728649342943
0.02945742197715742,33.947302,1.4999999999999991,32143835387527.67,16304995007084.006,0.040836657980234836,68.04705215694553,0.0007136873046950798,0.020418328989942773
0.027628792583636364,36.194126,1.4999999999999991,285382808806313.2,144634235768554.84,0.03830163936343545,72.5312366274828,0.0006278303577089242,0.019150819681528798
0.02591367940896702,38.589657,1.4999999999999991,2939801598986243.0,1488689671399408.2,0.03592398764071958,77.31342256756693,0.0005523020593004393,0.01796199382015931
0.024305035782238252,41.143737,1.4999999999999991,3.5484928682501304e+16,1.79553637921848e+16,0.03369393405194954,82.41325750924139,0.000485859869201932,0.01684696702575989
0.02279625159411338,43.866861,1.4999999999999991,5.0718297646662854e+17,2.5644787940564026e+17,0.03160231503981903,87.85169724384441,0.0004274106921402148,0.015801157519680607
0.021381128079863303,46.770217,1.4999999999999991,8.6804102914592e+18,4.3860923904636897e+18,0.029640537291740765,93.65108569150657,0.0003759929739763616,0.014820268645626524
0.020053851409343567,49.865733,1.4999999999999991,1.800329723386421e+20,9.090975149899581e+19,0.027800541127769307,99.83524876447228,0.0003307608388636437,0.013900270563624714
0.01880896799556289,53.166128,1.4999999999999991,4.582736425203899e+21,2.312708955023898e+21,0.02607476627101124,106.42959623931873,0.0002909701475600517,0.013037383135228205
0.01764136346499383,56.684961,1.4999999999999991,1.451270342698405e+23,7.319778124410081e+22,0.024456122694283655,113.46121964812178,0.00025596630250667796,0.012228061346846082
0.016546240097757833,60.436691,1.4999999999999991,5.800998456946373e+24,2.92429194329026e+24,0.022937959345570746,120.9590121617035,0.00022517342995897574,0.01146897967247138
0.015519098881661145,64.436731,1.4999999999999991,2.9722328722611286e+26,1.4975564619698957e+26,0.021514039269644458,128.95377649676058,0.000198084959011203,0.010757019634486619
0.014555719344596133,68.701517,1.4999999999999991,1.9843919188594514e+28,9.993633183870162e+27,0.02017851164981521,137.47836281148986,0.0001742552396486641,0.010089255824549757
0.013652143839151315,73.248569,1.4999999999999991,1.7568967267557708e+30,8.844029435104472e+29,0.018925890021795455,146.56779062426045,0.00015329225399130387,0.009462945010515806
0.012804659338952805,78.096572,1.4999999999999991,2.1016224323220587e+32,1.0574949544172165e+32,0.01775102703805831,156.25941071940423,0.00013485111972548074,0.008875513518622332
0.012009784323249015,83.265442,1.4999999999999991,3.4649977178499383e+34,1.7428387284440397e+34,0.01664909628601885,166.59303707934282,0.00011862846635510215,0.008324548142576244
0.011264252630692983,88.776418,1.4999999999999991,8.042954843129018e+36,4.0439971663988805e+36,0.015615569904621207,177.61113080102626,0.00010435740317173182,0.0078077849518486
0.01056500148860871,94.65214,1.4999999999999991,2.6885974635692585e+39,1.3513618829340919e+39,0.014646201989374497,189.35895603398257,9.180315873418524e-05,0.007323100994194263
0.00990915759952322,100.916752,1.4999999999999991,1.3259269249854797e+42,6.6623165059451126e+41,0.01373700930419286,201.88478590831107,8.075919303405129e-05,0.006868504651570876
0.009294026664004857,107.59599000000001,1.4999999999999991,9.898619027339456e+44,4.972200649693803e+44,0.012884256756966028,215.2400784804651,7.104382365429306e-05,0.006442128377923725
