dgp,beta,tau,n,ate,beta_ov,e_inv_p,e_inv_q,overlap_mass,pop_kish_frac,zero_arm_rate,kish1_realized,kish0_realized,ht_bias,ht_sd,ht_rmse,ht_estimable_rate,ht_cover_cond,ht_cover_uncond,hajek_bias,hajek_sd,hajek_rmse,hajek_estimable_rate,hajek_cover_cond,hajek_cover_uncond,trunc_bias,trunc_sd,trunc_rmse,trunc_estimable_rate,trunc_cover_cond,trunc_cover_uncond,aipw_oracle_bias,aipw_oracle_sd,aipw_oracle_rmse,aipw_oracle_estimable_rate,aipw_oracle_cover_cond,aipw_oracle_cover_uncond,or_oracle_bias,or_oracle_sd,or_oracle_rmse,or_oracle_estimable_rate,or_oracle_cover_cond,or_oracle_cover_uncond,overlap_bias,overlap_sd,overlap_rmse,overlap_estimable_rate,overlap_cover_cond,overlap_cover_uncond
normal,const,0.4,500,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.17485075598939562,0.17379798781878442,0.02935844098950583,0.5098413711447609,0.5100493076446406,1.0,0.8175,0.8175,0.10632841475294516,0.38266159401799404,0.3966983143163397,1.0,0.79,0.79,0.13879429592831463,0.3088078124774859,0.3382125307654181,1.0,0.7975,0.7975,0.01898932595546538,0.3085775509958506,0.30877605026360644,1.0,0.945,0.945,0.0,0.0,0.0,1.0,1.0,1.0,0.008285473202573241,0.15289490401915518,0.15292827930775155,1.0,0.9275,0.9275
normal,const,0.4,1000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.14650281915306426,0.15162194112564514,0.029582409579185724,0.3258588219622115,0.32679294802287956,1.0,0.7825,0.7825,0.07018728152566131,0.31015229779734865,0.31761646084131917,1.0,0.795,0.795,0.11344218621210089,0.22818294299861752,0.25457104401208425,1.0,0.7875,0.7875,-0.0029768495264810156,0.19026984383640935,0.19005517244461168,1.0,0.9625,0.9625,0.0,0.0,0.0,1.0,1.0,1.0,0.0029552416564322115,0.10266133100877035,0.1025755037303205,1.0,0.9575,0.9575
normal,const,0.4,2000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.12675577245126413,0.12010936722263496,-0.02210823531733114,0.3061936325893316,0.3066087545317345,1.0,0.8425,0.8425,0.008715089694814078,0.2753651754134173,0.2751588044553083,1.0,0.84,0.84,0.08005188254191642,0.16874254514098447,0.18657750486811192,1.0,0.83,0.83,-0.005279808378817494,0.13109354502117024,0.13103598791503454,1.0,0.9675,0.9675,0.0,0.0,0.0,1.0,1.0,1.0,-0.00620070206256083,0.07151930154934885,0.07169847748690394,1.0,0.955,0.955
normal,const,0.4,4000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.1088402005634883,0.11117781910859026,0.01010054942475575,0.21392192392329482,0.21389297361037427,1.0,0.8225,0.8225,0.022588241808920925,0.20583747006984687,0.20681723838346144,1.0,0.8425,0.8425,0.08912741131286107,0.11888111819331336,0.1484623989755225,1.0,0.8125,0.8125,0.0029683813341905975,0.09305533948153784,0.09298633906792096,1.0,0.97,0.97,0.0,0.0,0.0,1.0,1.0,1.0,0.0018963080527605444,0.04755753003238227,0.047535884869800774,1.0,0.97,0.97
normal,const,0.4,8000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.09757484615129274,0.0976295247603481,-0.00014501391243602503,0.14708890831914087,0.14690500370026588,1.0,0.84,0.84,0.011818227828294831,0.15628406741501313,0.15653535850555425,1.0,0.8475,0.8475,0.09031927101371257,0.08470504788786208,0.12375208479572881,1.0,0.745,0.745,-0.004143785179553518,0.06239756381900668,0.06245713158827365,1.0,0.965,0.965,0.0,0.0,0.0,1.0,1.0,1.0,0.0007985834005008807,0.03366526998605495,0.033632644300938375,1.0,0.9575,0.9575
normal,const,0.4,16000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.08487641437090958,0.08235629848716293,-0.0036768163063069996,0.11461448681639363,0.11453016355906041,1.0,0.8975,0.8975,0.0006355795041453121,0.1144959140440061,0.11435447087126324,1.0,0.8975,0.8975,0.07845124084942787,0.0605540918914743,0.0990566920531069,1.0,0.7225,0.7225,-2.6552732342618734e-05,0.045831210040203574,0.045773892878610174,1.0,0.9625,0.9625,0.0,0.0,0.0,1.0,1.0,1.0,0.00030946189492468885,0.02574905945528386,0.025718714865620215,1.0,0.945,0.945
normal,const,0.4,32000,1.0,1.0,23.761493895775608,24.01580702918657,0.13097597408143075,0.04163924197028621,0.0,0.07236774244804728,0.0765691257815812,0.0011479465426883478,0.07029763263995142,0.07021908959221473,1.0,0.9075,0.9075,0.0017722382868050415,0.08217229333622642,0.08208864663398782,1.0,0.895,0.895,0.08196561849673067,0.04220491969139205,0.09216921787447833,1.0,0.4625,0.4625,0.0007279121177026718,0.03429785853026065,0.03426269251041819,1.0,0.96,0.96,0.0,0.0,0.0,1.0,1.0,1.0,-0.00023096094725186673,0.01785825901359547,0.01783741753781437,1.0,0.94,0.94
normal,const,0.3,125,1.0,1.0,250.04308239713617,291.90862930925624,0.10586346047019027,0.003425729490650212,0.0,0.2220594068500803,0.23218010849974632,0.06687857323048167,1.0167542712571762,1.0176824251979382,1.0,0.6975,0.6975,0.36413732130841564,0.6216905943406842,0.7198117364100229,1.0,0.545,0.545,0.3909202546621184,0.5675703228944765,0.6885850541197214,1.0,0.5675,0.5675,-0.017557687543354846,0.6031678975768343,0.6026692760357545,1.0,0.9625,0.9625,0.0,0.0,0.0,1.0,1.0,1.0,0.02063341356413604,0.30026201994510066,0.30059545102224505,1.0,0.9475,0.9475
normal,const,0.3,250,1.0,1.0,250.04308239713617,291.90862930925624,0.10586346047019027,0.003425729490650212,0.0,0.18409215208564753,0.17617957777679114,-0.13326417538032234,2.8912860946474965,2.890743119569606,1.0,0.7125,0.7125,0.2512123489036569,0.5519422616724746,0.6057939450104044,1.0,0.6275,0.6275,0.30164215330661853,0.4426788471830167,0.5352220464352903,1.0,0.6375,0.6375,-0.07214903067676287,0.9943706494585932,0.9957442134710295,1.0,0.98,0.98,0.0,0.0,0.0,1.0,1.0,1.0,0.0011112357103466913,0.2149043175396146,0.21463839562792236,1.0,0.9575,0.9575
normal,const,0.3,500,1.0,1.0,250.04308239713617,291.90862930925624,0.10586346047019027,0.003425729490650212,0.0,0.14014827285609063,0.1392432587692698,0.12805364297607888,0.3988735781275853,0.41844965823791425,1.0,0.6975,0.6975,0.2354561747277719,0.37369461492793676,0.44129146409205405,1.0,0.675,0.675,0.2789117782129263,0.3050327392453332,0.4130425397067223,1.0,0.6775,0.6775,0.028634367901082553,0.37591380657635937,0.37653398123527476,1.0,0.96,0.96,0.0,0.0,0.0,1.0,1.0,1.0,0.0001674638516379473,0.14908421806314484,0.14889784034515804,1.0,0.9525,0.9525
